District, Price per sq m
Akademichesky,205 702
Alexeyevsky,191 495
Altufyevsky,147 175
Arbat,362 197
Aeroport,206 218
Babushkinsky,154 080
Basmanny,224 197
Begovoy,237 475
Beskudnikovsky,149 875
Bibirevo,147 175
Biryulyovo Vostochnoye,126 599
Biryulyovo Zapadnoye,126 599
Bogorodskoye,156 826
Brateyevo,141 559
Butyrsky,184 756
Veshnyaki,137 797
Vnukovo,131 152
Voykovsky,173 096
Vostochnoye Degunino,149 875
Vostochnoye Izmaylovo,153 939
Vostochny,139 256
Vykhino-Zhulebino,137 797
Gagarinsky,247 204
Golovinsky,151 010
Golyanovo,144 777
Danilovsky,183 383
Dmitrovsky,149 875
Donskoy,261 405
Dorogomilovo,248 168
Zamoskvorechye,299 942
Zapadnoye Degunino,149 875
Zyuzino,178 141
Zyablikovo,141 559
Ivanovskoye,141 358
Izmaylovo,153 939
Kapotnya,140 808
Konkovo,192 140
Koptevo,173 096
Kosino-Ukhtomsky,129 535
Kotlovka,183 383
Krasnoselsky,272 025
Krylatskoye,199 274
Kuzminki,152 912
Kuntsevo,173 180
Kurkino,156 906
Levoberezhny,165 895
Lefortovo,159 195
Lianozovo,144 819
Lomonosovsky,247 204
Losinoostrovsky,138 319
Lyublino,139 670
Marfino ,158 364
Maryina roshcha,194 724
Maryino,140 808
Metrogorodok,156 826
Meshchansky,268 872
Mitino ,143 811
Mozhaysky,175 503
Molzhaninovsky,156 906
Moskvorechye-Saburovo,149 188
Nagatino-Sadovniki,178 983
Nagatinsky zaton,178 983
Nagorny,178 141
Nekrasovka,129 535
Nizhegorodsky,197 192
Novogireyevo,141 358
Novokosino,139 256
Novo-Peredelkino,131 152
Obruchevsky,192 140
Orekhovo-Borisovo Severnoye,147 418
Orekhovo-Borisovo Yuzhnoye,147 418
Ostankinsky,187 139
Otradnoye,146 442
Ochakovo-Matveyevskoye,184 451
Perovo,154 393
Pechatniki,147 512
Pokrovskoye-Streshnevo,183 596
Preobrazhenskoye,190 672
Presnensky,300 701
Prospekt Vernadskogo,220 061
Ramenki,247 204
Rostokino,187 139
Ryazansky,143 425
Savyolovsky,194 724
Sviblovo ,181 198
Severnoye Butovo,142 553
Severnoye Izmaylovo,144 777
Severnoye Medvedkovo,152 635
Severnoye Tushino ,163 034
Severny,149 875
Sokol ,206 218
Sokolinaya gora,171 718
Sokolniki,204 111
Solntsevo,148 536
Strogino,170 941
Tagansky,257 183
Tverskoy,352 670
Tekstilshchiki,152 912
Tyoply Stan,143 266
Timiryazevsky,184 756
Troparyovo-Nikulino,187 127
Filyovsky park,198 383
Fili-Davydkovo,175 503
Khamovniki,320 254
Khovrino,165 895
Khoroshyovo-Mnyovniki,192 026
Khoroshyovsky,194 304
Tsaritsyno,149 188
Cheryomushki,202 142
Chertanovo Severnoye,161 999
Chertanovo Tsentralnoye,161 999
Chertanovo Yuzhnoye,150 729
Shchukino,183 596
Yuzhnoye Butovo,126 272
Yuzhnoye Medvedkovo,154 080
Yuzhnoye Tushino,163 034
Yuzhnoportovy,176 143
Yakimanka,373 596
Yaroslavsky,138 319
Yasenevo,149 166
