District,Population,Population density,District square,address for Nominatim,location,point
Академический , 109387 , 18762.78 , 5. 83 ,"Академический ,  ЮЗАО ","Академический, Москва, Юго-Западный административный округ, Москва, Центральный федеральный округ, 117036, Россия","(55.6897377, 37.5767712, 0.0)"
  Алексеевский , 80534 , 15223.82 , 5. 29 ,"  Алексеевский ,  СВАО ","Алексеевский, Москва, Северо-Восточный административный округ, Москва, Центральный федеральный округ, 129164, Россия","(55.8148783, 37.6506684, 0.0)"
  Алтуфьевский , 57596 , 17721.85 , 3. 25 ,"  Алтуфьевский ,  СВАО ","Алтуфьевский, Москва, Северо-Восточный административный округ, Москва, Центральный федеральный округ, 127410, Россия","(55.880255, 37.5816349, 0.0)"
  Арбат , 36125 , 17120.85 , 2. 11 ,"  Арбат ,  ЦАО ","район Арбат, Центральный административный округ, Москва, Центральный федеральный округ, Россия","(55.751199, 37.5898715, 0.0)"
  Аэропорт , 79486 , 17355.02 , 4. 58 ,"  Аэропорт ,  САО ","Аэропорт, Ленинградский проспект, Аэропорт, район Аэропорт, Северный административный округ, Москва, Центральный федеральный округ, 125190, Россия","(55.8004021, 37.5331563, 0.0)"
  Бабушкинский , 88537 , 17462.92 , 5. 07 ,"  Бабушкинский ,  СВАО ","Бабушкинский, Москва, Северо-Восточный административный округ, Москва, Центральный федеральный округ, 129344, Россия","(55.8659576, 37.6638944, 0.0)"
  Басманный , 110694 , 13225.09 , 8. 37 ,"  Басманный ,  ЦАО ","Басманный район, Центральный административный округ, Москва, Центральный федеральный округ, Россия","(55.7672809, 37.6697732, 0.0)"
  Беговой , 42781 , 7694.42 , 5. 56 ,"  Беговой ,  САО ","Беговой, Москва, Северный административный округ, Москва, Центральный федеральный округ, 125040, Россия","(55.7819165, 37.5662996, 0.0)"
  Бескудниковский , 79603 , 24122.12 , 3. 30 ,"  Бескудниковский ,  САО ","Бескудниковский район, Северный административный округ, Москва, Центральный федеральный округ, 127247, Россия","(55.8637386, 37.55732165198045, 0.0)"
  Бибирево , 160163 , 24831.47 , 6. 45 ,"  Бибирево ,  СВАО ","Бибирево, Бибиревская улица, Бибирево, район Бибирево, Северо-Восточный административный округ, Москва, Центральный федеральный округ, 127549, Россия","(55.8838943, 37.6035774, 0.0)"
  Бирюлёво Восточное , 155863 , 10552.67 , 14. 77 ,"  Бирюлёво Восточное ,  ЮАО ","район Бирюлёво Восточное, Южный административный округ, Москва, Центральный федеральный округ, Россия","(55.5961213, 37.6752547, 0.0)"
 Бирюлёво Западное , 88672 , 10419.74 , 8. 51 ," Бирюлёво Западное ,  ЮАО ","Бирюлёво Западное, Москва, Южный административный округ, Москва, Центральный федеральный округ, 117403, Россия","(55.5879862, 37.6363193, 0.0)"
 Богородское , 109324 , 10676.17 , 10. 24 ," Богородское ,  ВАО ","Богородское, Москва, Восточный административный округ, Москва, Центральный федеральный округ, 107258, Россия","(55.8155683, 37.7077624, 0.0)"
 Братеево , 110021 , 14419.53 , 7. 63 ," Братеево ,  ЮАО ","Братеево, Москва, Южный административный округ, Москва, Центральный федеральный округ, 115612, Россия","(55.6359246, 37.7619218, 0.0)"
 Бутырский , 71458 , 14178.17 , 5. 04 ," Бутырский ,  СВАО ","Бутырский, Москва, Северо-Восточный административный округ, Москва, Центральный федеральный округ, 127254, Россия","(55.8137908, 37.5929255, 0.0)"
  Вешняки , 122285 , 11407.18 , 10. 72 ,"  Вешняки ,  ВАО ","Вешняки, Москва, Восточный административный округ, Москва, Центральный федеральный округ, 111538, Россия","(55.7274735, 37.8248787, 0.0)"
 Внуково , 25471 , 1462.17 , 17. 42 ," Внуково ,  ЗАО ","Внуково, Западный административный округ, Москва, Центральный федеральный округ, Россия","(55.6116965, 37.3002554, 0.0)"
 Войковский , 70729 , 10700.3 , 6. 61 ," Войковский ,  САО ","Войковский, Москва, Северный административный округ, Москва, Центральный федеральный округ, 125171, Россия","(55.819399, 37.4938496, 0.0)"
  Восточное Дегунино , 98923 , 26239.52 , 3. 77 ,"  Восточное Дегунино ,  САО ","Восточное Дегунино, район Восточное Дегунино, Северный административный округ, Москва, Центральный федеральный округ, 127591, Россия","(55.8829192, 37.5577688, 0.0)"
 Восточное Измайлово , 78154 , 20299.74 , 3. 85 ," Восточное Измайлово ,  ВАО ","Восточное Измайлово, район Восточное Измайлово, Восточный административный округ, Москва, Центральный федеральный округ, 105203, Россия","(55.7965807, 37.8218434, 0.0)"
  Восточный , 13689 , 4359.55 , 3. 14 ,"  Восточный ,  ВАО ","Восточный, Восточный административный округ, Москва, Центральный федеральный округ, 105173, Россия","(55.8188903, 37.8675117, 0.0)"
 Выхино-Жулебино , 225154 , 15040.35 , 14. 97 ," Выхино-Жулебино ,  ЮВАО ","Выхино, улица Хлобыстова, Выхино, район Выхино-Жулебино, Юго-Восточный административный округ, Москва, Центральный федеральный округ, 109542, Россия","(55.7156444, 37.8179229, 0.0)"
 Гагаринский , 81877 , 14886.73 , 5. 50 ," Гагаринский ,  ЮЗАО ","Гагаринский, Москва, Юго-Западный административный округ, Москва, Центральный федеральный округ, 117312, Россия","(55.703459, 37.5699407, 0.0)"
  Головинский , 103197 , 11556.22 , 8. 93 ,"  Головинский ,  САО ","Головинский, Москва, Северный административный округ, Москва, Центральный федеральный округ, 125499, Россия","(55.8475333, 37.5067991, 0.0)"
  Гольяново , 163009 , 10874.52 , 14. 99 ,"  Гольяново ,  ВАО ","Гольяново, Москва, Восточный административный округ, Москва, Центральный федеральный округ, 107207, Россия","(55.8184501, 37.8072685, 0.0)"
 Даниловский , 94316 , 7485.4 , 12. 60 ," Даниловский ,  ЮАО ","Даниловский, Москва, Южный административный округ, Москва, Центральный федеральный округ, 115114, Россия","(55.7072544, 37.6435175, 0.0)"
 Дмитровский , 93468 , 12821.4 , 7. 29 ," Дмитровский ,  САО ","Дмитровский, Москва, Северный административный округ, Москва, Центральный федеральный округ, 127411, Россия","(55.8913196, 37.5284649, 0.0)"
  Донской , 51894 , 9056.54 , 5. 73 ,"  Донской ,  ЮАО ","Донской, Москва, Южный административный округ, Москва, Центральный федеральный округ, 115419, Россия","(55.7052265, 37.6016374, 0.0)"
 Дорогомилово , 76093 , 9571.45 , 7. 95 ," Дорогомилово ,  ЗАО ","Дорогомилово, Москва, Западный административный округ, Москва, Центральный федеральный округ, 121165, Россия","(55.7398697, 37.5365271, 0.0)"
  Замоскворечье , 59105 , 13681.71 , 4. 32 ,"  Замоскворечье ,  ЦАО ","район Замоскворечье, Центральный административный округ, Москва, Центральный федеральный округ, Россия","(55.7356637, 37.6348669, 0.0)"
 Западное Дегунино , 84163 , 11177.03 , 7. 53 ," Западное Дегунино ,  САО ","Западное Дегунино, Москва, Северный административный округ, Москва, Центральный федеральный округ, 127635, Россия","(55.8732647, 37.5181287, 0.0)"
  Зюзино , 126815 , 23268.81 , 5. 45 ,"  Зюзино ,  ЮЗАО ","Зюзино, район Зюзино, Юго-Западный административный округ, Москва, Центральный федеральный округ, 117303, Россия","(55.6531418, 37.5867464, 0.0)"
  Зябликово , 133278 , 30428.77 , 4. 38 ,"  Зябликово ,  ЮАО ","Зябликово, Ясеневая улица, Краснуха, район Зябликово, Южный административный округ, Москва, Центральный федеральный округ, 115597, Россия","(55.6123108, 37.745177, 0.0)"
 Ивановское , 128267 , 12587.54 , 10. 19 ," Ивановское ,  ВАО ","район Ивановское, Восточный административный округ, Москва, Центральный федеральный округ, Россия","(55.7700304, 37.8258305, 0.0)"
 Измайлово , 107381 , 7046 , 15. 24 ," Измайлово ,  ВАО ","Измайлово, Окружной проезд, Соколиная Гора, район Соколиная Гора, Восточный административный округ, Москва, Центральный федеральный округ, 105613, Россия","(55.7897928, 37.7431771, 0.0)"
 Капотня , 32399 , 4019.73 , 8. 06 ," Капотня ,  ЮВАО ","Капотня, Москва, Юго-Восточный административный округ, Москва, Центральный федеральный округ, 109649, Россия","(55.6367482, 37.7984857, 0.0)"
  Коньково , 156389 , 21781.2 , 7. 18 ,"  Коньково ,  ЮЗАО ","Коньково, 126 к1, Профсоюзная улица, Коньково, район Коньково, Юго-Западный административный округ, Москва, Центральный федеральный округ, 117647, Россия","(55.6331187, 37.5189112, 0.0)"
 Коптево , 102076 , 18973.23 , 5. 38 ," Коптево ,  САО ","Коптево, проезд Черепановых, Коптево, район Коптево, Северный административный округ, Москва, Центральный федеральный округ, 125008, Россия","(55.8396193, 37.5201074, 0.0)"
 Косино-Ухтомский , 82267 , 5466.25 , 15. 05 ," Косино-Ухтомский ,  ВАО ","Косино-Ухтомский, район Косино-Ухтомский, Восточный административный округ, Москва, Центральный федеральный округ, 111675, Россия","(55.7137363, 37.8884848, 0.0)"
 Котловка , 65892 , 16723.86 , 3. 94 ," Котловка ,  ЮЗАО ","Котловка, Юго-Западный административный округ, Москва, Центральный федеральный округ, 117209, Россия","(55.6655348, 37.5930002, 0.0)"
  Красносельский , 48697 , 9817.94 , 4. 96 ,"  Красносельский ,  ЦАО ","Красносельский район, Центральный административный округ, Москва, Центральный федеральный округ, Россия","(55.7774472, 37.6541598, 0.0)"
 Крылатское , 82817 , 6878.49 , 12. 04 ," Крылатское ,  ЗАО ","Крылатское, Осенний бульвар, Крылатское, район Крылатское, Западный административный округ, Москва, Центральный федеральный округ, 121609, Россия","(55.7565949, 37.4081393, 0.0)"
 Крюково , 100098 , 9542.23 , 10. 49 ," Крюково ,  ЗелАО ","район Крюково, Зеленоградский административный округ, Москва, Центральный федеральный округ, Россия","(55.9763429, 37.1596291, 0.0)"
 Кузьминки , 145984 , 17912.15 , 8. 15 ," Кузьминки ,  ЮВАО ","Кузьминки, Волгоградский проспект (дублёр), Кузьминки, район Кузьминки, Юго-Восточный административный округ, Москва, Центральный федеральный округ, 109443, Россия","(55.7056021, 37.7657844, 0.0)"
 Кунцево , 152364 , 9200.72 , 16. 56 ," Кунцево ,  ЗАО ","Кунцево, Москва, Западный административный округ, Москва, Центральный федеральный округ, 121359, Россия","(55.7426325, 37.3974723, 0.0)"
  Куркино , 34012 , 4305.32 , 7. 90 ,"  Куркино ,  СЗАО ","Куркино, район Куркино, Северо-Западный административный округ, Москва, Центральный федеральный округ, 125466, Россия","(55.8936207, 37.3887002, 0.0)"
