Index,No.,District,Subway,Price per sqm,1,2
,1,Остоженка ,КропоткинскаяПарк культуры ,390870,6,
,2,Якиманка ,НовокузнецкаяПолянкаТретьяковская ,373596,4,
,3,Арбат ,Александровский садАрбатскаяБиблиотека имени ЛенинаБоровицкаяСмоленская ,362197,4,
,4,Тверской ,МаяковскаяПушкинскаяТверскаяЧеховская ,352670,-0,7
,5,Центр Москвы ,Китай-городКузнецкий мостЛубянкаОхотный рядПлощадь РеволюцииТеатральная ,351705,+0,6
,6,Хамовники ,ЛужникиСпортивнаяФрунзенская ,320254,0,
,7,Пресненский ,БаррикаднаяВыставочнаяДеловой центрКраснопресненскаяМеждународнаяУлица 1905 года ,300701,2,
,8,Замоскворечье ,ДобрынинскаяОктябрьскаяПавелецкаяСерпуховская ,299942,5,
,9,Красносельский ,КомсомольскаяКрасные воротаСретенский бульварТургеневскаяЧистые пруды ,272025,-0,8
,10,Мещанский ,ДостоевскаяПроспект МираСухаревскаяТрубнаяЦветной бульвар ,268872,-0,4
,11,Донской ,Ленинский проспектПлощадь ГагаринаШаболовская ,261405,6,
,12,Таганский ,КурскаяМарксистскаяТаганскаяЧкаловская ,257183,-0,9
,13,Дорогомилово ,КиевскаяКутузовскаяПарк ПобедыСтуденческая ,248168,1,
,14,ГагаринскийЛомоносовскийРаменки ,Воробьевы горыЛомоносовский проспектРаменкиУниверситет ,247204,+0,2
,15,Беговой ,Белорусская ,237475,+0,5
,16,Басманный ,Бауманская ,224197,1,
,17,Проспект Вернадского ,Проспект Вернадского ,220061,+0,9
,18,ДинамоПетровский парк ,212237,3,,
,19,АэропортСокол ,АэропортСокол ,206218,+0,5
,20,Академический ,Академическая ,205702,6,
,21,Сокольники ,КрасносельскаяСокольники ,204111,+0,6
,22,Черемушки  ,Новые ЧеремушкиПрофсоюзная ,202142,0,
,23,Крылатское ,Крылатское ,199274,2,
,24,Филевский парк ,БагратионовскаяМинскаяПионерскаяСлавянский бульварФилевский паркФилиШелепиха ,198383,7,
,25,Нижегородский ,Волгоградский проспектКрестьянская заставаНижегородскаяНовохохловскаяПлощадь ИльичаПролетарскаяРимская ,197192,2,
,26,Марьина рощаСавеловский ,Марьина рощаМенделеевскаяНовослободскаяСавеловская ,194724,1,
,27,Хорошевский ,БеговаяПолежаевскаяХорошёвоЦСКА ,194304,-0,1
,28,КоньковоОбручевский ,БеляевоКалужскаяКоньково ,192140,+0,9
,29,Хорошево-Мневники ,ЗоргеОктябрьское полеПанфиловская ,192026,-0,5
,30,Алексеевский ,АлексеевскаяРижская ,191495,+0,8
,31,Преображенское ,Преображенская площадь ,190672,-0,6
,32,ОстанкинскийРостокино ,ВДНХРостокино ,187139,-0,5
,33,Тропарево-Никулино ,ТропаревоЮго-Западная ,187127,+0,7
,34,БутырскийТимирязевский ,БутырскаяДмитровскаяТимирязевскаяФонвизинская ,184756,3,
,35,Очаково-Матвеевское ,Мичуринский проспектОзёрная ,184451,0,0
,36,Покровское-СтрешневоЩукино ,СпартакТушинскаяЩукинская ,183596,7,
,37,ДаниловскийКотловка ,Верхние КотлыКрымскаяНагатинскаяНагорнаяТульская ,183383,0,
,38,Свиблово ,Ботанический садСвиблово ,181198,-0,2
,39,Нагатино-СадовникиНагатинский Затон ,Коломенская ,178983,5,
,40,ЗюзиноНагорный ,ВаршавскаяКаховскаяНахимовский проспектСевастопольская ,178141,-0,5
,41,Южнопортовый ,АвтозаводскаяДубровкаЗИЛКожуховскаяТехнопаркУгрешская ,176143,0,
,42,МожайскийФили-Давыдково ,Кунцевская ,175503,+0,6
,43,Кунцево ,Молодежная ,173180,2,
