District;Price per sq m
Академический;205 702
Алексеевский;191 495
Алтуфьевский;147 175
Арбат;362 197
Аэропорт;206 218
Бабушкинский;154 080
Басманный;224 197
Беговой;237 475
Бескудниковский;149 875
Бибирево;147 175
Бирюлёво Восточное;126 599
Бирюлёво Западное;126 599
Богородское;156 826
Братеево;141 559
Бутырский;184 756
Вешняки;137 797
Внуково;131 152
Войковский;173 096
Восточное Дегунино;149 875
Восточное Измайлово;153 939
Восточный;139 256
Выхино-Жулебино;137 797
Гагаринский;247 204
Головинский;151 010
Гольяново;144 777
Даниловский;183 383
Дмитровский;149 875
Донской;261 405
Дорогомилово;248 168
Замоскворечье;299 942
Западное Дегунино;149 875
Зюзино;178 141
Зябликово;141 559
Ивановское;141 358
Измайлово;153 939
Капотня;140 808
Коньково;192 140
Коптево;173 096
Косино-Ухтомский;129 535
Котловка;183 383
Красносельский;272 025
Крылатское;199 274
Кузьминки;152 912
Кунцево;173 180
Куркино;156 906
Левобережный;165 895
Лефортово;159 195
Лианозово;144 819
Ломоносовский;247 204
Лосиноостровский;138 319
Люблино;139 670
Марфино;158 364
Марьина Роща;194 724
Марьино;140 808
Метрогородок;156 826
Мещанский;268 872
Митино;143 811
Можайский;175 503
Молжаниновский;156 906
Москворечье-Сабурово;149 188
Нагатино-Садовники;178 983
Нагатинский Затон;178 983
Нагорный;178 141
Некрасовка;129 535
Нижегородский;197 192
Новогиреево;141 358
Новокосино;139 256
Ново-Переделкино;131 152
Обручевский;192 140
Орехово-Борисово Северное;147 418
Орехово-Борисово Южное;147 418
Останкинский;187 139
Отрадное;146 442
Очаково-Матвеевское;184 451
Перово;154 393
Печатники;147 512
Покровское-Стрешнево;183 596
Преображенское;190 672
Пресненский;300 701
Проспект Вернадского;220 061
Раменки;247 204
Ростокино;187 139
Рязанский;143 425
Савёловский;194 724
Свиблово;181 198
Северное Бутово;142 553
Северное Измайлово;144 777
Северное Медведково;152 635
Северное Тушино;163 034
Северный;149 875
Сокол;206 218
Соколиная Гора;171 718
Сокольники;204 111
Солнцево;148 536
Строгино;170 941
Таганский;257 183
Тверской;352 670
Текстильщики;152 912
Тёплый Стан;143 266
Тимирязевский;184 756
Тропарёво-Никулино;187 127
Филёвский Парк;198 383
Фили-Давыдково;175 503
Хамовники;320 254
Ховрино;165 895
Хорошёво-Мнёвники;192 026
Хорошёвский;194 304
Царицыно;149 188
Черёмушки;202 142
Чертаново Северное;161 999
Чертаново Центральное;161 999
Чертаново Южное;150 729
Щукино;183 596
Южное Бутово;126 272
Южное Медведково;154 080
Южное Тушино;163 034
Южнопортовый;176 143
Якиманка;373 596
Ярославский;138 319
Ясенево;149 166
